net,length_um
net1483,2.021285mm
net497,1.93589mm
net1820,1.72782mm
_08153_,1.71833mm
net2202,1.69503mm
net2018,1.69379mm
net1495,1.64039mm
_09747_,1.60595mm
_06285_,1.54436mm
clknet_0_clk,1.53805mm
net362,1.5008mm
net851,1.4922mm
_05219_,1.47296mm
net1901,1.46532mm
net2207,1.44613mm
net1430,1.43183mm
net934,1.40833mm
net1185,1.39245mm
net691,1.38876mm
net1342,1.383125mm
_09730_,1.36353mm
net334,1.363175mm
net682,1.35612mm
net1491,1.34717mm
net1530,1.34203mm
net1469,1.340955mm
net1391,1.33482mm
net1532,1.306565mm
net882,1.3009mm
net582,1.29544mm
net1676,1.28871mm
net1293,1.272835mm
net1370,1.26706mm
net1281,1.26036mm
net1222,1.25703mm
net828,1.24221mm
net1405,1.239775mm
_09817_,1.23762mm
net914,1.237515mm
net353,1.23641mm
net250,1.22358mm
_09793_,1.2228mm
net1129,1.21843mm
net2818,1.21572mm
net1388,1.21534mm
net1334,1.21353mm
net985,1.2113mm
net1160,1.1992mm
_07499_,1.19662mm
_08599_,1.19591mm
_04154_,1.18767mm
net2826,1.18246mm
_05258_,1.18052mm
net656,1.175555mm
net893,1.16684mm
_05210_,1.1647mm
net1177,1.1632mm
_09647_,1.16015mm
net1618,1.154195mm
_05702_,1.15229mm
net1204,1.14506mm
net1118,1.13379mm
net1225,1.13206mm
net1666,1.12851mm
net1327,1.11979mm
_07325_,1.11911mm
net320,1.11755mm
net488,1.116385mm
net972,1.11632mm
net1260,1.113395mm
net1046,1.11266mm
_04505_,1.11233mm
net1120,1.10107mm
net117,1.10078mm
net1568,1.094945mm
_05264_,1.0886mm
clknet_2_1_0_clk,1.0886mm
_09614_,1.08855mm
net1322,1.08763mm
net1480,1.084245mm
net1198,1.08397mm
net506,1.08387mm
net1395,1.08355mm
net1749,1.0808mm
net967,1.07949mm
net437,1.07903mm
_05211_,1.07519mm
net379,1.073465mm
net1625,1.070855mm
net1562,1.070345mm
net1550,1.06933mm
net1347,1.06821mm
net793,1.0659mm
net1607,1.06541mm
net234,1.0637mm
_05259_,1.060445mm
net873,1.058mm
_09011_,1.05587mm
net1647,1.055685mm
net1203,1.05489mm
net560,1.05325mm
net1465,1.04991mm
net1619,1.046055mm
_05240_,1.045835mm
_05187_,1.044905mm
net544,1.04187mm
net837,1.0402mm
_08869_,1.03905mm
net1258,1.038585mm
_07290_,1.03789mm
net1298,1.035125mm
net1289,1.02884mm
net1158,1.02818mm
_07567_,1.02786mm
net1538,1.02426mm
net910,1.02268mm
net189,1.01783mm
net1150,1.01559mm
_10593_,1.01413mm
clknet_2_2_0_clk,1.01411mm
net1644,1.00903mm
net1350,1.002015mm
_09743_,1.0013mm
_06702_,1.00112mm
net1201,998.89µm
_09611_,998.005µm
net1574,996.24µm
_06321_,995.14µm
net172,994.865µm
net1487,989.915µm
net1569,987.51µm
net1450,974.37µm
net1613,970.625µm
net1431,969.42µm
net1525,967.36µm
net1092,966.96µm
net1149,963.62µm
_04855_,963.58µm
_07534_,962.97µm
net1285,962.035µm
net1419,960.94µm
net1496,956.4µm
_05186_,956.26µm
net126,955.925µm
net1565,955.18µm
_05237_,954.76µm
_09809_,951.98µm
net1271,951.12µm
clknet_2_3_0_clk,951.01µm
_06944_,950.97µm
net1140,950.3µm
net207,947.61µm
net110,945.46µm
_08939_,944.96µm
net1366,944.005µm
clknet_2_0_0_clk,940.98µm
net2136,938.8µm
net1551,937.46µm
net1439,936.755µm
net1433,936.555µm
net145,935.525µm
net330,934.63µm
net430,930.645µm
_10474_,929.49µm
_10826_,928.16µm
net1312,924.04µm
net1325,920.495µm
net1668,918.305µm
_07912_,916.55µm
net889,913.91µm
net1535,910.33µm
_09976_,907.92µm
net318,907.58µm
net1181,907.56µm
net429,904.61µm
net1547,904.52µm
net1333,904.24µm
net1905,903.64µm
net1273,903.125µm
net1474,899.78µm
net1559,899.745µm
net1018,899.19µm
net1262,898.725µm
net343,896.23µm
net411,896.09µm
net1332,895.49µm
net701,892.87µm
net1354,892.29µm
net107,889.96µm
net1519,888.47µm
net297,888.1µm
net1352,888.09µm
net463,882.57µm
net1667,882.255µm
net1249,881.94µm
net161,880.51µm
net1468,879.265µm
net157,877.975µm
net813,877.27µm
net1438,876.455µm
net1464,875.425µm
net759,875.045µm
net1356,874.885µm
_05229_,874.78µm
net553,874µm
net1255,871.645µm
net2153,868.73µm
net1434,868.48µm
_11071_,868.4µm
_10209_,867.79µm
net2022,867.63µm
net1657,867.105µm
net1731,866.51µm
net1435,864.215µm
net1182,862.92µm
net1554,862.795µm
net1015,862.23µm
net535,858.22µm
net1810,856.45µm
net886,854.86µm
net1501,853.15µm
net1641,852.565µm
net1314,852.56µm
net1558,852.39µm
net114,852.18µm
net1543,851.785µm
_08152_,851.6µm
_10807_,851.33µm
_10743_,851.1µm
net1655,850.995µm
net2108,848.61µm
net1605,847.04µm
net1623,846.055µm
net1529,845.935µm
_04680_,845.455µm
net1232,842.62µm
net1320,837.29µm
_09808_,836.51µm
net317,834.02µm
net1583,833.165µm
net1678,832.07µm
net135,831.615µm
net885,831.22µm
net1208,831.19µm
net1402,831.11µm
net121,830.93µm
net348,829.79µm
_10496_,828.92µm
net124,827.77µm
net822,827.68µm
net1361,827.465µm
net1217,827.02µm
net1514,824.73µm
net1524,823.855µm
net1176,823.225µm
net700,823.17µm
net1362,822.5µm
net1588,821.395µm
net942,815.65µm
net1515,814.62µm
net1638,814.59µm
net1247,814.3µm
net563,813.79µm
net1615,811.795µm
net1884,811.36µm
net1305,810.265µm
net1971,809.8µm
_10986_,808.81µm
net198,808.65µm
net1500,807.915µm
net958,807.47µm
_07184_,806.06µm
net790,805.98µm
net1670,805.22µm
_09631_,803.98µm
net238,800.52µm
net1387,800.48µm
_10960_,799.99µm
net1586,799.39µm
net1297,798.67µm
_05216_,797.27µm
net1409,794.54µm
net1330,794.5µm
net1477,794.335µm
net832,792.915µm
_09656_,791.61µm
net1196,791.58µm
net233,791.47µm
_04482_,791.11µm
net388,790.95µm
net1355,790.535µm
net1268,790.05µm
net476,788.97µm
net298,787.88µm
net1512,787.365µm
_09046_,786.07µm
net1421,785.735µm
net989,785.09µm
net906,784.76µm
net631,784.69µm
net1311,784.305µm
net1461,782.7µm
net707,782.1µm
_05220_,782.07µm
net1456,780.855µm
net1589,780.575µm
net1257,779.86µm
net859,777.92µm
net236,775.23µm
net1339,775.18µm
net1541,774.565µm
net1457,774.17µm
net1295,774.09µm
net156,773.58µm
net1561,772.72µm
net1156,770.81µm
net552,770.37µm
net1672,769.98µm
net703,769.21µm
_06840_,768.64µm
net1265,767.63µm
net467,767.56µm
net456,765.61µm
net617,765.115µm
net1162,765.05µm
net1234,764.995µm
net1235,763.12µm
net636,763.11µm
net1499,763.01µm
net1228,759.765µm
net1011,759.45µm
net1903,759.12µm
net268,757.42µm
net1933,757.205µm
net420,756.595µm
net1378,755.53µm
net1546,755.24µm
net1210,754.37µm
net1563,751.875µm
net242,748.31µm
net1191,748.135µm
net1537,747.785µm
net632,747.53µm
net558,746.45µm
net215,745.175µm
net667,744.85µm
net629,742.11µm
net734,740.62µm
net1282,738.93µm
_09624_,738.27µm
net685,735.555µm
net1365,735.41µm
net1256,735.09µm
_09354_,734.655µm
net1161,733.65µm
net1967,733.6µm
net1002,732.385µm
net1390,731.74µm
net1459,730.955µm
net1637,729.825µm
net1345,729.505µm
net1671,729.14µm
net872,727.51µm
net1486,726.845µm
net1575,726.23µm
net1382,725.565µm
net1621,723.11µm
net1277,722.74µm
net557,722.52µm
net1650,721.435µm
net1508,721.39µm
net390,721.05µm
net134,720.42µm
net1272,719.72µm
net1358,719.255µm
net1060,719.14µm
net1189,718.575µm
net677,718.16µm
net993,717.7µm
net1017,716.63µm
net1579,716.28µm
net1399,715.985µm
net1276,715.4µm
net1080,715.29µm
net615,713.19µm
net1673,713.03µm
net1600,712.39µm
net1288,711.48µm
_04830_,711.3µm
net2158,711.17µm
net1777,710µm
net128,709.46µm
net1031,709.33µm
net1164,709.1µm
_07012_,708.56µm
net1348,708.37µm
net144,707.76µm
_07494_,705.72µm
net1215,704.82µm
net1867,704.34µm
net1595,703.92µm
_09616_,703.13µm
net1427,702.98µm
net1343,702.435µm
net1540,701.775µm
_09794_,701.42µm
net1609,699.485µm
net1202,699.48µm
net1571,699.13µm
_09779_,699.025µm
net1442,698.795µm
net555,697.77µm
net1604,697.49µm
net307,697.48µm
_09860_,694.315µm
net123,693.58µm
net665,692.77µm
net602,692.605µm
net697,690.25µm
net371,689.965µm
_08769_,688.49µm
net459,687.915µm
_05228_,686.83µm
net1278,686.5µm
net836,686.28µm
net951,686.16µm
net1168,685.93µm
net1410,685.24µm
net2821,685.05µm
net1283,684.91µm
net1292,684.435µm
net1385,684.34µm
