Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_248_1493,VPWR,li1,692.5300,688.1600,1.800000
FILLER_248_1485,VPWR,li1,690.4600,688.1600,1.800000
FILLER_248_1483,VPWR,li1,687.9300,688.1600,1.800000
FILLER_248_1481,VPWR,li1,687.2400,688.1600,1.800000
FILLER_248_1469,VPWR,li1,684.0200,688.1600,1.800000
FILLER_248_1457,VPWR,li1,678.5000,688.1600,1.800000
FILLER_248_1455,VPWR,li1,675.0500,688.1600,1.800000
FILLER_248_1453,VPWR,li1,674.3600,688.1600,1.800000
FILLER_248_1441,VPWR,li1,671.1400,688.1600,1.800000
FILLER_248_1429,VPWR,li1,665.6200,688.1600,1.800000
FILLER_248_1427,VPWR,li1,662.1700,688.1600,1.800000
FILLER_248_1425,VPWR,li1,661.4800,688.1600,1.800000
FILLER_248_1413,VPWR,li1,658.2600,688.1600,1.800000
FILLER_248_1401,VPWR,li1,652.7400,688.1600,1.800000
FILLER_248_1399,VPWR,li1,649.2900,688.1600,1.800000
FILLER_248_1397,VPWR,li1,648.6000,688.1600,1.800000
FILLER_248_1385,VPWR,li1,645.3800,688.1600,1.800000
FILLER_248_1373,VPWR,li1,639.8600,688.1600,1.800000
FILLER_248_1371,VPWR,li1,636.4100,688.1600,1.800000
FILLER_248_1369,VPWR,li1,635.7200,688.1600,1.800000
FILLER_248_1357,VPWR,li1,632.5000,688.1600,1.800000
FILLER_248_1345,VPWR,li1,626.9800,688.1600,1.800000
FILLER_248_1343,VPWR,li1,623.5300,688.1600,1.800000
FILLER_248_1341,VPWR,li1,622.8400,688.1600,1.800000
FILLER_248_1329,VPWR,li1,619.6200,688.1600,1.800000
FILLER_248_1317,VPWR,li1,614.1000,688.1600,1.799999
FILLER_248_1315,VPWR,li1,610.6500,688.1600,1.799999
FILLER_248_1313,VPWR,li1,609.9600,688.1600,1.799999
FILLER_248_1301,VPWR,li1,606.7400,688.1600,1.799999
FILLER_248_1289,VPWR,li1,601.2200,688.1600,1.799999
FILLER_248_1287,VPWR,li1,597.7700,688.1600,1.799999
FILLER_248_1285,VPWR,li1,597.0800,688.1600,1.799999
FILLER_248_1273,VPWR,li1,593.8600,688.1600,1.799999
FILLER_248_1261,VPWR,li1,588.3400,688.1600,1.799999
FILLER_248_1259,VPWR,li1,584.8900,688.1600,1.799999
FILLER_248_1257,VPWR,li1,584.2000,688.1600,1.799999
FILLER_248_1245,VPWR,li1,580.9800,688.1600,1.799999
FILLER_248_1233,VPWR,li1,575.4600,688.1600,1.799999
FILLER_248_1231,VPWR,li1,572.0100,688.1600,1.799999
FILLER_248_1229,VPWR,li1,571.3200,688.1600,1.799999
FILLER_248_1217,VPWR,li1,568.1000,688.1600,1.799999
FILLER_248_1205,VPWR,li1,562.5800,688.1600,1.799999
FILLER_248_1203,VPWR,li1,559.1300,688.1600,1.799999
FILLER_248_1201,VPWR,li1,558.4400,688.1600,1.799999
FILLER_248_1189,VPWR,li1,555.2200,688.1600,1.799999
FILLER_248_1177,VPWR,li1,549.7000,688.1600,1.799998
FILLER_248_1175,VPWR,li1,546.2500,688.1600,1.799998
FILLER_248_1173,VPWR,li1,545.5600,688.1600,1.799998
FILLER_248_1161,VPWR,li1,542.3400,688.1600,1.799998
FILLER_248_1149,VPWR,li1,536.8200,688.1600,1.799998
FILLER_248_1147,VPWR,li1,533.3700,688.1600,1.799998
FILLER_248_1145,VPWR,li1,532.6800,688.1600,1.799998
FILLER_248_1133,VPWR,li1,529.4600,688.1600,1.799998
FILLER_248_1121,VPWR,li1,523.9400,688.1600,1.799998
FILLER_248_1119,VPWR,li1,520.4900,688.1600,1.799998
FILLER_248_1117,VPWR,li1,519.8000,688.1600,1.799998
FILLER_248_1105,VPWR,li1,516.5800,688.1600,1.799998
FILLER_248_1093,VPWR,li1,511.0600,688.1600,1.799998
FILLER_248_1091,VPWR,li1,507.6100,688.1600,1.799998
FILLER_248_1089,VPWR,li1,506.9200,688.1600,1.799998
FILLER_248_1077,VPWR,li1,503.7000,688.1600,1.799998
FILLER_248_1065,VPWR,li1,498.1800,688.1600,1.799998
FILLER_248_1063,VPWR,li1,494.7300,688.1600,1.799997
FILLER_248_1061,VPWR,li1,494.0400,688.1600,1.799997
FILLER_248_1049,VPWR,li1,490.8200,688.1600,1.799997
FILLER_248_1037,VPWR,li1,485.3000,688.1600,1.799997
FILLER_248_1035,VPWR,li1,481.8500,688.1600,1.799997
FILLER_248_1033,VPWR,li1,481.1600,688.1600,1.799997
FILLER_248_1021,VPWR,li1,477.9400,688.1600,1.799996
FILLER_248_1009,VPWR,li1,472.4200,688.1600,1.799995
FILLER_248_1007,VPWR,li1,468.9700,688.1600,1.799994
FILLER_248_1005,VPWR,li1,468.2800,688.1600,1.799994
FILLER_248_993,VPWR,li1,465.0600,688.1600,1.799993
FILLER_248_981,VPWR,li1,459.5400,688.1600,1.799991
FILLER_248_979,VPWR,li1,456.0900,688.1600,1.799990
FILLER_248_977,VPWR,li1,455.4000,688.1600,1.799990
FILLER_248_965,VPWR,li1,452.1800,688.1600,1.799989
FILLER_248_953,VPWR,li1,446.6600,688.1600,1.799987
FILLER_248_951,VPWR,li1,443.2100,688.1600,1.799986
FILLER_248_949,VPWR,li1,442.5200,688.1600,1.799986
FILLER_248_937,VPWR,li1,439.3000,688.1600,1.799985
FILLER_248_925,VPWR,li1,433.7800,688.1600,1.799984
FILLER_248_923,VPWR,li1,430.3300,688.1600,1.799982
FILLER_248_921,VPWR,li1,429.6400,688.1600,1.799982
FILLER_248_909,VPWR,li1,426.4200,688.1600,1.799981
FILLER_248_897,VPWR,li1,420.9000,688.1600,1.799980
FILLER_248_895,VPWR,li1,417.4500,688.1600,1.799978
FILLER_248_863,VPWR,li1,402.7300,688.1600,1.799975
FILLER_248_783,VPWR,li1,365.9300,688.1600,1.799979
FILLER_248_776,VPWR,li1,362.9400,688.1600,1.799981
FILLER_248_773,VPWR,li1,361.3300,688.1600,1.799981
FILLER_248_769,VPWR,li1,360.1800,688.1600,1.799981
FILLER_248_757,VPWR,li1,356.5000,688.1600,1.799983
FILLER_248_755,VPWR,li1,353.0500,688.1600,1.799984
FILLER_248_747,VPWR,li1,350.9800,688.1600,1.799985
FILLER_248_735,VPWR,li1,346.3800,688.1600,1.799987
FILLER_248_729,VPWR,li1,341.3200,688.1600,1.799989
FILLER_248_727,VPWR,li1,340.1700,688.1600,1.799989
FILLER_248_720,VPWR,li1,337.1800,688.1600,1.799991
FILLER_248_713,VPWR,li1,333.9600,688.1600,1.799991
FILLER_248_701,VPWR,li1,330.7400,688.1600,1.799994
FILLER_248_699,VPWR,li1,327.2900,688.1600,1.799993
FILLER_248_697,VPWR,li1,326.6000,688.1600,1.799993
FILLER_248_685,VPWR,li1,323.3800,688.1600,1.799992
FILLER_248_673,VPWR,li1,317.8600,688.1600,1.799991
FILLER_248_643,VPWR,li1,301.5300,688.1600,1.799989
FILLER_248_630,VPWR,li1,295.5500,688.1600,1.799988
FILLER_248_615,VPWR,li1,288.6500,688.1600,1.799988
FILLER_248_607,VPWR,li1,284.9700,688.1600,1.799988
FILLER_248_605,VPWR,li1,284.2800,688.1600,1.799989
FILLER_248_601,VPWR,li1,282.9000,688.1600,1.799989
FILLER_248_589,VPWR,li1,279.2200,688.1600,1.799989
FILLER_248_587,VPWR,li1,275.7700,688.1600,1.799989
FILLER_248_585,VPWR,li1,275.0800,688.1600,1.799989
FILLER_248_573,VPWR,li1,271.8600,688.1600,1.799989
FILLER_248_561,VPWR,li1,266.3400,688.1600,1.799989
FILLER_248_558,VPWR,li1,262.6600,688.1600,1.799989
