Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_248_1493,VGND,li1,692.5300,685.4400,0.000000
FILLER_248_1485,VGND,li1,690.4600,685.4400,0.000000
FILLER_248_1483,VGND,li1,687.9300,685.4400,0.000000
FILLER_248_1481,VGND,li1,687.2400,685.4400,0.000000
FILLER_248_1469,VGND,li1,684.0200,685.4400,0.000000
FILLER_248_1457,VGND,li1,678.5000,685.4400,0.000000
FILLER_248_1455,VGND,li1,675.0500,685.4400,0.000000
FILLER_248_1453,VGND,li1,674.3600,685.4400,0.000000
FILLER_248_1441,VGND,li1,671.1400,685.4400,0.000000
FILLER_248_1429,VGND,li1,665.6200,685.4400,0.000000
FILLER_248_1427,VGND,li1,662.1700,685.4400,0.000000
FILLER_248_1425,VGND,li1,661.4800,685.4400,0.000000
FILLER_248_1413,VGND,li1,658.2600,685.4400,0.000000
FILLER_248_1401,VGND,li1,652.7400,685.4400,0.000000
FILLER_248_1399,VGND,li1,649.2900,685.4400,0.000000
FILLER_248_1397,VGND,li1,648.6000,685.4400,0.000000
FILLER_248_1385,VGND,li1,645.3800,685.4400,0.000000
FILLER_248_1373,VGND,li1,639.8600,685.4400,0.000000
FILLER_248_1371,VGND,li1,636.4100,685.4400,0.000000
FILLER_248_1369,VGND,li1,635.7200,685.4400,0.000000
FILLER_248_1357,VGND,li1,632.5000,685.4400,0.000001
FILLER_248_1345,VGND,li1,626.9800,685.4400,0.000001
FILLER_248_1343,VGND,li1,623.5300,685.4400,0.000001
FILLER_248_1341,VGND,li1,622.8400,685.4400,0.000001
FILLER_248_1329,VGND,li1,619.6200,685.4400,0.000001
FILLER_248_1317,VGND,li1,614.1000,685.4400,0.000001
FILLER_248_1315,VGND,li1,610.6500,685.4400,0.000001
FILLER_248_1313,VGND,li1,609.9600,685.4400,0.000001
FILLER_248_1301,VGND,li1,606.7400,685.4400,0.000002
FILLER_248_1289,VGND,li1,601.2200,685.4400,0.000002
FILLER_248_1287,VGND,li1,597.7700,685.4400,0.000002
FILLER_248_1285,VGND,li1,597.0800,685.4400,0.000002
FILLER_248_1273,VGND,li1,593.8600,685.4400,0.000002
FILLER_248_1261,VGND,li1,588.3400,685.4400,0.000002
FILLER_248_1259,VGND,li1,584.8900,685.4400,0.000002
FILLER_248_1257,VGND,li1,584.2000,685.4400,0.000002
FILLER_248_1245,VGND,li1,580.9800,685.4400,0.000003
FILLER_248_1233,VGND,li1,575.4600,685.4400,0.000003
FILLER_248_1231,VGND,li1,572.0100,685.4400,0.000003
FILLER_248_1229,VGND,li1,571.3200,685.4400,0.000003
FILLER_248_1217,VGND,li1,568.1000,685.4400,0.000003
FILLER_248_1205,VGND,li1,562.5800,685.4400,0.000003
FILLER_248_1203,VGND,li1,559.1300,685.4400,0.000003
FILLER_248_1201,VGND,li1,558.4400,685.4400,0.000003
FILLER_248_1189,VGND,li1,555.2200,685.4400,0.000004
FILLER_248_1177,VGND,li1,549.7000,685.4400,0.000004
FILLER_248_1175,VGND,li1,546.2500,685.4400,0.000004
FILLER_248_1173,VGND,li1,545.5600,685.4400,0.000004
FILLER_248_1161,VGND,li1,542.3400,685.4400,0.000004
FILLER_248_1149,VGND,li1,536.8200,685.4400,0.000004
FILLER_248_1147,VGND,li1,533.3700,685.4400,0.000004
FILLER_248_1145,VGND,li1,532.6800,685.4400,0.000004
FILLER_248_1133,VGND,li1,529.4600,685.4400,0.000005
FILLER_248_1121,VGND,li1,523.9400,685.4400,0.000005
FILLER_248_1119,VGND,li1,520.4900,685.4400,0.000005
FILLER_248_1117,VGND,li1,519.8000,685.4400,0.000005
FILLER_248_1105,VGND,li1,516.5800,685.4400,0.000005
FILLER_248_1093,VGND,li1,511.0600,685.4400,0.000005
FILLER_248_1091,VGND,li1,507.6100,685.4400,0.000006
FILLER_248_1089,VGND,li1,506.9200,685.4400,0.000006
FILLER_248_1077,VGND,li1,503.7000,685.4400,0.000006
FILLER_248_1065,VGND,li1,498.1800,685.4400,0.000006
FILLER_248_1063,VGND,li1,494.7300,685.4400,0.000006
FILLER_248_1061,VGND,li1,494.0400,685.4400,0.000006
FILLER_248_1049,VGND,li1,490.8200,685.4400,0.000006
FILLER_248_1037,VGND,li1,485.3000,685.4400,0.000006
FILLER_248_1035,VGND,li1,481.8500,685.4400,0.000009
FILLER_248_1033,VGND,li1,481.1600,685.4400,0.000009
FILLER_248_1021,VGND,li1,477.9400,685.4400,0.000011
FILLER_248_1009,VGND,li1,472.4200,685.4400,0.000015
FILLER_248_1007,VGND,li1,468.9700,685.4400,0.000017
FILLER_248_1005,VGND,li1,468.2800,685.4400,0.000019
FILLER_248_993,VGND,li1,465.0600,685.4400,0.000020
FILLER_248_981,VGND,li1,459.5400,685.4400,0.000024
FILLER_248_979,VGND,li1,456.0900,685.4400,0.000026
FILLER_248_977,VGND,li1,455.4000,685.4400,0.000026
FILLER_248_965,VGND,li1,452.1800,685.4400,0.000029
FILLER_248_953,VGND,li1,446.6600,685.4400,0.000032
FILLER_248_951,VGND,li1,443.2100,685.4400,0.000035
FILLER_248_949,VGND,li1,442.5200,685.4400,0.000036
FILLER_248_937,VGND,li1,439.3000,685.4400,0.000037
FILLER_248_925,VGND,li1,433.7800,685.4400,0.000041
FILLER_248_923,VGND,li1,430.3300,685.4400,0.000044
FILLER_248_921,VGND,li1,429.6400,685.4400,0.000044
FILLER_248_909,VGND,li1,426.4200,685.4400,0.000046
FILLER_248_897,VGND,li1,420.9000,685.4400,0.000050
FILLER_248_895,VGND,li1,417.4500,685.4400,0.000053
FILLER_248_863,VGND,li1,402.7300,685.4400,0.000060
FILLER_248_783,VGND,li1,365.9300,685.4400,0.000058
FILLER_248_776,VGND,li1,362.9400,685.4400,0.000055
FILLER_248_773,VGND,li1,361.3300,685.4400,0.000053
FILLER_248_769,VGND,li1,360.1800,685.4400,0.000053
FILLER_248_757,VGND,li1,356.5000,685.4400,0.000049
FILLER_248_755,VGND,li1,353.0500,685.4400,0.000047
FILLER_248_747,VGND,li1,350.9800,685.4400,0.000045
FILLER_248_735,VGND,li1,346.3800,685.4400,0.000040
FILLER_248_729,VGND,li1,341.3200,685.4400,0.000034
FILLER_248_727,VGND,li1,340.1700,685.4400,0.000031
FILLER_248_720,VGND,li1,337.1800,685.4400,0.000028
FILLER_248_713,VGND,li1,333.9600,685.4400,0.000022
FILLER_248_701,VGND,li1,330.7400,685.4400,0.000019
FILLER_248_699,VGND,li1,327.2900,685.4400,0.000021
FILLER_248_697,VGND,li1,326.6000,685.4400,0.000021
FILLER_248_685,VGND,li1,323.3800,685.4400,0.000022
FILLER_248_673,VGND,li1,317.8600,685.4400,0.000025
FILLER_248_643,VGND,li1,301.5300,685.4400,0.000030
FILLER_248_630,VGND,li1,295.5500,685.4400,0.000030
FILLER_248_615,VGND,li1,288.6500,685.4400,0.000029
FILLER_248_607,VGND,li1,284.9700,685.4400,0.000028
FILLER_248_605,VGND,li1,284.2800,685.4400,0.000028
FILLER_248_601,VGND,li1,282.9000,685.4400,0.000028
FILLER_248_589,VGND,li1,279.2200,685.4400,0.000027
FILLER_248_587,VGND,li1,275.7700,685.4400,0.000027
FILLER_248_585,VGND,li1,275.0800,685.4400,0.000027
FILLER_248_573,VGND,li1,271.8600,685.4400,0.000026
FILLER_248_561,VGND,li1,266.3400,685.4400,0.000025
FILLER_248_558,VGND,li1,262.6600,685.4400,0.000024
FILLER_248_546,VGND,li1,259.4400,685.4400,0.000024
FILLER_248_538,VGND,li1,253.9200,685.4400,0.000023
FILLER_248_531,VGND,li1,250.0100,685.4400,0.000022
FILLER_248_525,VGND,li1,247.2500,685.4400,0.000022
FILLER_248_520,VGND,li1,244.9500,685.4400,0.000021
FILLER_248_518,VGND,li1,244.2600,685.4400,0.000021
FILLER_248_511,VGND,li1,240.8100,685.4400,0.000020
FILLER_248_503,VGND,li1,237.1300,685.4400,0.000019
FILLER_248_501,VGND,li1,236.4400,685.4400,0.000019
FILLER_248_489,VGND,li1,233.2200,685.4400,0.000018
FILLER_248_477,VGND,li1,227.7000,685.4400,0.000017
FILLER_248_474,VGND,li1,224.0200,685.4400,0.000016
FILLER_248_466,VGND,li1,221.7200,685.4400,0.000015
FILLER_248_454,VGND,li1,217.1200,685.4400,0.000014
FILLER_248_447,VGND,li1,211.3700,685.4400,0.000013
FILLER_248_441,VGND,li1,208.6100,685.4400,0.000011
FILLER_248_433,VGND,li1,205.6200,685.4400,0.000011
FILLER_248_421,VGND,li1,201.9400,685.4400,0.000010
FILLER_248_419,VGND,li1,198.4900,685.4400,0.000009
FILLER_248_417,VGND,li1,197.8000,685.4400,0.000009
FILLER_248_405,VGND,li1,194.5800,685.4400,0.000008
FILLER_248_393,VGND,li1,189.0600,685.4400,0.000006
FILLER_248_391,VGND,li1,185.6100,685.4400,0.000005
FILLER_248_389,VGND,li1,184.9200,685.4400,0.000004
FILLER_248_377,VGND,li1,181.7000,685.4400,0.000004
FILLER_248_365,VGND,li1,176.1800,685.4400,0.000003
FILLER_248_363,VGND,li1,172.7300,685.4400,0.000003
FILLER_248_361,VGND,li1,172.0400,685.4400,0.000003
FILLER_248_349,VGND,li1,168.8200,685.4400,0.000003
FILLER_248_337,VGND,li1,163.3000,685.4400,0.000003
FILLER_248_335,VGND,li1,159.8500,685.4400,0.000002
FILLER_248_333,VGND,li1,159.1600,685.4400,0.000002
FILLER_248_321,VGND,li1,155.9400,685.4400,0.000002
FILLER_248_309,VGND,li1,150.4200,685.4400,0.000002
FILLER_248_307,VGND,li1,146.9700,685.4400,0.000002
FILLER_248_305,VGND,li1,146.2800,685.4400,0.000002
FILLER_248_293,VGND,li1,143.0600,685.4400,0.000002
FILLER_248_281,VGND,li1,137.5400,685.4400,0.000002
FILLER_248_279,VGND,li1,134.0900,685.4400,0.000002
FILLER_248_277,VGND,li1,133.4000,685.4400,0.000002
FILLER_248_265,VGND,li1,130.1800,685.4400,0.000002
FILLER_248_253,VGND,li1,124.6600,685.4400,0.000002
FILLER_248_251,VGND,li1,121.2100,685.4400,0.000002
FILLER_248_249,VGND,li1,120.5200,685.4400,0.000002
FILLER_248_237,VGND,li1,117.3000,685.4400,0.000002
