Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,17075
design__instance__area,129970
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,295
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,496
design__max_cap_violation__count__corner:nom_tt_025C_1v80,8
power__internal__total,0.00011167471529915929
power__switching__total,0.00005400833470048383
power__leakage__total,9.785195231870603E-8
power__total,0.00016578088980168104
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.8363069362628716
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.2518657576012253
timing__hold__ws__corner:nom_tt_025C_1v80,0.31966574736496883
timing__setup__ws__corner:nom_tt_025C_1v80,208.99276500941082
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319666
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1906
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,496
design__max_cap_violation__count__corner:nom_ss_100C_1v60,16
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.3088481779962895
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.21662250384387
timing__hold__ws__corner:nom_ss_100C_1v60,0.8746783545028816
timing__setup__ws__corner:nom_ss_100C_1v60,119.77818187429855
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.874678
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,51
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,496
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,7
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.6377812902768109
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.8669205598766053
timing__hold__ws__corner:nom_ff_n40C_1v95,0.08939071957886131
timing__setup__ws__corner:nom_ff_n40C_1v95,244.7105840561533
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.089391
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2488
design__max_fanout_violation__count,496
design__max_cap_violation__count,23
clock__skew__worst_hold,-0.6215258483797238
clock__skew__worst_setup,0.8406590106424872
timing__hold__ws,0.08188394638555227
timing__setup__ws,114.49666072660324
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.081884
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.0 400.0
design__core__bbox,4.14 5.44 395.6 394.4
design__io,265
design__die__area,160000
design__core__area,152262
design__instance__count__stdcell,17075
design__instance__area__stdcell,129970
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.853591
design__instance__utilization__stdcell,0.853591
design__instance__count__class:inverter,475
design__instance__count__class:sequential_cell,1456
design__instance__count__class:multi_input_combinational_cell,6167
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,5134
design__instance__count__class:tap_cell,2175
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,336949
design__violations,0
design__instance__count__class:timing_repair_buffer,1554
design__instance__count__class:clock_buffer,228
design__instance__count__class:clock_inverter,121
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,595
antenna__violating__nets,11
antenna__violating__pins,11
route__antenna_violation__count,11
design__instance__count__class:antenna_cell,4899
antenna_diodes_count,51
route__net,9986
route__net__special,2
route__drc_errors__iter:1,12893
route__wirelength__iter:1,440631
route__drc_errors__iter:2,7753
route__wirelength__iter:2,435494
route__drc_errors__iter:3,6899
route__wirelength__iter:3,433556
route__drc_errors__iter:4,2423
route__wirelength__iter:4,432684
route__drc_errors__iter:5,1119
route__wirelength__iter:5,432732
route__drc_errors__iter:6,592
route__wirelength__iter:6,432631
route__drc_errors__iter:7,423
route__wirelength__iter:7,432620
route__drc_errors__iter:8,350
route__wirelength__iter:8,432524
route__drc_errors__iter:9,296
route__wirelength__iter:9,432531
route__drc_errors__iter:10,246
route__wirelength__iter:10,432496
route__drc_errors__iter:11,176
route__wirelength__iter:11,432528
route__drc_errors__iter:12,120
route__wirelength__iter:12,432536
route__drc_errors__iter:13,118
route__wirelength__iter:13,432539
route__drc_errors__iter:14,91
route__wirelength__iter:14,432582
route__drc_errors__iter:15,46
route__wirelength__iter:15,432623
route__drc_errors__iter:16,46
route__wirelength__iter:16,432623
route__drc_errors__iter:17,46
route__wirelength__iter:17,432623
route__drc_errors__iter:18,46
route__wirelength__iter:18,432623
route__drc_errors__iter:19,17
route__wirelength__iter:19,432620
route__drc_errors__iter:20,17
route__wirelength__iter:20,432620
route__drc_errors__iter:21,11
route__wirelength__iter:21,432619
route__drc_errors__iter:22,11
route__wirelength__iter:22,432619
route__drc_errors__iter:23,11
route__wirelength__iter:23,432619
route__drc_errors__iter:24,11
route__wirelength__iter:24,432619
route__drc_errors__iter:25,8
route__wirelength__iter:25,432659
route__drc_errors__iter:26,8
route__wirelength__iter:26,432659
route__drc_errors__iter:27,1
route__wirelength__iter:27,432666
route__drc_errors__iter:28,1
route__wirelength__iter:28,432666
