Metric,Value
design__instance__count,3070
design__instance__area,29368.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,7
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0002907288435380906
power__switching__total,0.00016613889602012932
power__leakage__total,2.332465776078152E-8
power__total,0.00045689105172641575
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.44092106214151594
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.44093405175127137
timing__hold__ws__corner:nom_tt_025C_1v80,0.327812564150076
timing__setup__ws__corner:nom_tt_025C_1v80,42.504312383905365
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327813
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,77
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5874436658943585
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5874565444818084
timing__hold__ws__corner:nom_ss_100C_1v60,0.8917881130415793
timing__setup__ws__corner:nom_ss_100C_1v60,26.020612179213536
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.891788
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.37927240199755774
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3792856691630772
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11973905539335813
timing__setup__ws__corner:nom_ff_n40C_1v95,49.097978627984126
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119739
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,97
design__max_fanout_violation__count,18
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.3762371631846926
clock__skew__worst_setup,0.3762447127014736
timing__hold__ws,0.11779594300070421
timing__setup__ws,25.08779388575738
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117796
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 195.0 195.0
design__core__bbox,4.14 5.44 190.9 190.4
design__io,138
design__die__area,38025
design__core__area,34543.1
design__instance__count__stdcell,3070
design__instance__area__stdcell,29368.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.850188
design__instance__utilization__stdcell,0.850188
design__instance__count__class:inverter,134
design__instance__count__class:sequential_cell,364
design__instance__count__class:multi_input_combinational_cell,1558
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1457
design__instance__count__class:tap_cell,490
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,86866.6
design__violations,0
design__instance__count__class:timing_repair_buffer,430
design__instance__count__class:clock_buffer,43
design__instance__count__class:clock_inverter,28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,120
antenna__violating__nets,2
antenna__violating__pins,3
route__antenna_violation__count,2
antenna_diodes_count,23
design__instance__count__class:antenna_cell,23
route__net,2596
route__net__special,2
route__drc_errors__iter:1,3235
route__wirelength__iter:1,108779
route__drc_errors__iter:2,2152
route__wirelength__iter:2,107791
route__drc_errors__iter:3,2032
route__wirelength__iter:3,107096
route__drc_errors__iter:4,744
route__wirelength__iter:4,107051
route__drc_errors__iter:5,238
route__wirelength__iter:5,107103
route__drc_errors__iter:6,171
route__wirelength__iter:6,107152
route__drc_errors__iter:7,155
route__wirelength__iter:7,107124
route__drc_errors__iter:8,147
route__wirelength__iter:8,107151
route__drc_errors__iter:9,106
route__wirelength__iter:9,107128
route__drc_errors__iter:10,71
route__wirelength__iter:10,107179
route__drc_errors__iter:11,8
route__wirelength__iter:11,107206
route__drc_errors__iter:12,4
route__wirelength__iter:12,107206
route__drc_errors__iter:13,4
route__wirelength__iter:13,107206
route__drc_errors__iter:14,2
route__wirelength__iter:14,107206
route__drc_errors__iter:15,2
route__wirelength__iter:15,107206
route__drc_errors__iter:16,1
route__wirelength__iter:16,107205
route__drc_errors__iter:17,1
route__wirelength__iter:17,107205
route__drc_errors__iter:18,1
route__wirelength__iter:18,107205
route__drc_errors__iter:19,0
route__wirelength__iter:19,107204
route__drc_errors,0
route__wirelength,107204
route__vias,23060
route__vias__singlecut,23060
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,449.18
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,36
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,7
design__max_fanout_violation__count__corner:min_tt_025C_1v80,18
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4366306051415096
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.43663793261367934
timing__hold__ws__corner:min_tt_025C_1v80,0.32504289069221187
timing__setup__ws__corner:min_tt_025C_1v80,43.085401355071646
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.325043
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,36
design__max_fanout_violation__count__corner:min_ss_100C_1v60,18
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.580414843726668
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5804220601765321
timing__hold__ws__corner:min_ss_100C_1v60,0.8868110941037275
timing__setup__ws__corner:min_ss_100C_1v60,26.95020460855811
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.886811
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,18
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3762371631846926
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3762447127014736
timing__hold__ws__corner:min_ff_n40C_1v95,0.11779594300070421
timing__setup__ws__corner:min_ff_n40C_1v95,49.461339535187356
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
