Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,3140
design__instance__area,25998.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,65
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001297034090384841
power__switching__total,0.0006254769396036863
power__leakage__total,2.5828969185681672E-8
power__total,0.0019225368741899729
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2772940011650681
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2824944524929448
timing__hold__ws__corner:nom_tt_025C_1v80,0.30937875359476347
timing__setup__ws__corner:nom_tt_025C_1v80,15.331027548075712
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309379
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,19.976740
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,42
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,65
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2904317701873801
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2965809626277825
timing__hold__ws__corner:nom_ss_100C_1v60,0.8429370773311436
timing__setup__ws__corner:nom_ss_100C_1v60,10.139789739296312
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.842937
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,14.755951
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,65
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2705921951985295
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27516853463546215
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11141909932266401
timing__setup__ws__corner:nom_ff_n40C_1v95,17.073274832719918
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111419
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.737181
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,48
design__max_fanout_violation__count,65
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2689253895689437
clock__skew__worst_setup,0.2725283131859305
timing__hold__ws,0.10901524436175997
timing__setup__ws,10.05445533067494
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109015
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.653162
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 200.0 200.0
design__core__bbox,5.52 10.88 194.12 187.68
design__io,107
design__die__area,40000
design__core__area,33344.5
design__instance__count__stdcell,3140
design__instance__area__stdcell,25998.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.7797
design__instance__utilization__stdcell,0.7797
design__instance__count__class:buffer,2
design__instance__count__class:inverter,35
design__instance__count__class:sequential_cell,397
design__instance__count__class:multi_input_combinational_cell,1257
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1816
design__instance__count__class:tap_cell,469
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,2870600
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,44183.6
design__violations,0
design__instance__count__class:timing_repair_buffer,437
design__instance__count__class:clock_buffer,44
design__instance__count__class:clock_inverter,28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,284
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,471
antenna_diodes_count,0
route__net,2205
route__net__special,2
route__drc_errors__iter:1,1063
route__wirelength__iter:1,51408
route__drc_errors__iter:2,511
route__wirelength__iter:2,51176
route__drc_errors__iter:3,472
route__wirelength__iter:3,51052
route__drc_errors__iter:4,77
route__wirelength__iter:4,50870
route__drc_errors__iter:5,1
route__wirelength__iter:5,50836
route__drc_errors__iter:6,0
route__wirelength__iter:6,50836
route__drc_errors,0
route__wirelength,50836
route__vias,16102
route__vias__singlecut,16102
route__vias__multicut,0
design__disconnected_pin__count,31
design__critical_disconnected_pin__count,0
route__wirelength__max,295.83
timing__unannotated_net__count__corner:nom_tt_025C_1v80,106
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,106
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,106
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,65
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2751986771914332
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.27933475767549937
timing__hold__ws__corner:min_tt_025C_1v80,0.30479325481761865
timing__setup__ws__corner:min_tt_025C_1v80,15.37966064700025
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
