Metric,Value
design__instance__count,123413
design__instance__area,2.8966E+6
design__instance_unmapped__count,0
synthesis__check_error__count,317
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1107
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,625
design__max_cap_violation__count__corner:nom_tt_025C_1v80,45
power__internal__total,15988206.0
power__switching__total,0.0019988850690424442
power__leakage__total,0.0001360024034511298
power__total,15988206.0
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.8751610794876408
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.9710592604870837
timing__hold__ws__corner:nom_tt_025C_1v80,1.118573709762602
timing__setup__ws__corner:nom_tt_025C_1v80,37.71047936211912
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.614406
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,42.373764
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1875
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,625
design__max_cap_violation__count__corner:nom_ss_100C_1v60,130
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.630784664577745
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.6536692483423536
timing__hold__ws__corner:nom_ss_100C_1v60,2.0184210429901683
timing__setup__ws__corner:nom_ss_100C_1v60,33.063813955925696
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.450241
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,36.349064
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,957
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,625
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,13
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.55906547640393
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.8953305017464364
timing__hold__ws__corner:nom_ff_n40C_1v95,0.8807106404554845
timing__setup__ws__corner:nom_ff_n40C_1v95,39.628745850957664
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.047460
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,44.465088
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,699
design__max_fanout_violation__count__corner:min_tt_025C_1v80,625
design__max_cap_violation__count__corner:min_tt_025C_1v80,33
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.839272897157041
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.934711001722067
timing__hold__ws__corner:min_tt_025C_1v80,1.2262484708065182
timing__setup__ws__corner:min_tt_025C_1v80,38.27323633018433
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.601781
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,42.610603
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1384
design__max_fanout_violation__count__corner:min_ss_100C_1v60,625
design__max_cap_violation__count__corner:min_ss_100C_1v60,101
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.5512909174095078
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.574245667271257
timing__hold__ws__corner:min_ss_100C_1v60,2.203824740632465
timing__setup__ws__corner:min_ss_100C_1v60,33.8168613794366
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.388514
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,37.001499
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
